Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086338,2015,01,01,26.9,1,Y
IDCJAC0010,086338,2015,01,02,38.8,1,Y
IDCJAC0010,086338,2015,01,03,38.2,1,Y
IDCJAC0010,086338,2015,01,04,21.4,1,Y
IDCJAC0010,086338,2015,01,05,22.0,1,Y
IDCJAC0010,086338,2015,01,06,26.0,1,Y
IDCJAC0010,086338,2015,01,07,37.4,1,Y
IDCJAC0010,086338,2015,01,08,28.2,1,Y
IDCJAC0010,086338,2015,01,09,18.0,1,Y
IDCJAC0010,086338,2015,01,10,21.7,1,Y
IDCJAC0010,086338,2015,01,11,27.5,1,Y
IDCJAC0010,086338,2015,01,12,31.3,1,Y
IDCJAC0010,086338,2015,01,13,25.6,1,Y
IDCJAC0010,086338,2015,01,14,22.7,1,Y
IDCJAC0010,086338,2015,01,15,20.0,1,Y
IDCJAC0010,086338,2015,01,16,27.3,1,Y
IDCJAC0010,086338,2015,01,17,25.0,1,Y
IDCJAC0010,086338,2015,01,18,19.5,1,Y
IDCJAC0010,086338,2015,01,19,23.6,1,Y
IDCJAC0010,086338,2015,01,20,30.4,1,Y
IDCJAC0010,086338,2015,01,21,33.1,1,Y
IDCJAC0010,086338,2015,01,22,35.8,1,Y
IDCJAC0010,086338,2015,01,23,25.0,1,Y
IDCJAC0010,086338,2015,01,24,26.3,1,Y
IDCJAC0010,086338,2015,01,25,22.0,1,Y
IDCJAC0010,086338,2015,01,26,19.8,1,Y
IDCJAC0010,086338,2015,01,27,19.1,1,Y
IDCJAC0010,086338,2015,01,28,25.4,1,Y
IDCJAC0010,086338,2015,01,29,22.2,1,Y
IDCJAC0010,086338,2015,01,30,21.0,1,Y
IDCJAC0010,086338,2015,01,31,20.2,1,Y
IDCJAC0010,086338,2015,02,01,19.0,1,Y
IDCJAC0010,086338,2015,02,02,21.1,1,Y
IDCJAC0010,086338,2015,02,03,20.0,1,Y
IDCJAC0010,086338,2015,02,04,19.0,1,Y
IDCJAC0010,086338,2015,02,05,24.2,1,Y
IDCJAC0010,086338,2015,02,06,35.7,1,Y
IDCJAC0010,086338,2015,02,07,35.0,1,Y
IDCJAC0010,086338,2015,02,08,21.5,1,Y
IDCJAC0010,086338,2015,02,09,28.3,1,Y
IDCJAC0010,086338,2015,02,10,27.8,1,Y
IDCJAC0010,086338,2015,02,11,26.8,1,Y
IDCJAC0010,086338,2015,02,12,21.9,1,Y
IDCJAC0010,086338,2015,02,13,32.4,1,Y
IDCJAC0010,086338,2015,02,14,25.1,1,Y
IDCJAC0010,086338,2015,02,15,34.4,1,Y
IDCJAC0010,086338,2015,02,16,24.6,1,Y
IDCJAC0010,086338,2015,02,17,20.6,1,Y
IDCJAC0010,086338,2015,02,18,21.2,1,Y
IDCJAC0010,086338,2015,02,19,26.9,1,Y
IDCJAC0010,086338,2015,02,20,25.3,1,Y
IDCJAC0010,086338,2015,02,21,36.1,1,Y
IDCJAC0010,086338,2015,02,22,35.3,1,Y
IDCJAC0010,086338,2015,02,23,29.3,1,Y
IDCJAC0010,086338,2015,02,24,20.1,1,Y
IDCJAC0010,086338,2015,02,25,27.0,1,Y
IDCJAC0010,086338,2015,02,26,23.2,1,Y
IDCJAC0010,086338,2015,02,27,24.3,1,Y
IDCJAC0010,086338,2015,02,28,32.3,1,Y
IDCJAC0010,086338,2015,03,01,20.8,1,Y
IDCJAC0010,086338,2015,03,02,23.0,1,Y
IDCJAC0010,086338,2015,03,03,22.7,1,Y
IDCJAC0010,086338,2015,03,04,23.5,1,Y
IDCJAC0010,086338,2015,03,05,18.6,1,Y
IDCJAC0010,086338,2015,03,06,21.1,1,Y
IDCJAC0010,086338,2015,03,07,22.6,1,Y
IDCJAC0010,086338,2015,03,08,24.4,1,Y
